"","V1","V2","V3"
"Q1_norm",0.436479498285081,1.56598348343713,-1.44195543409315
"Q2_norm",-0.782521880003696,1.1260843427642,3.41277811666299
"Q3_norm",-0.315605223032296,-1.63793036201186,-0.308744761148081
"Q4_norm",0.314300038400872,0.436178901695197,0.891302346655892
"Q5_norm",-0.413261970948848,1.43138863739567,-1.60150165759948
"Q6_norm",0.507407465647307,-0.973567798033483,-0.723940937675603
"Q7_norm",-0.0168972004985941,0.278415351210977,2.46511174094392
"Q8_norm",0.11945925585722,1.807261319155,-2.07115472066276
"Q9_norm",-1.06819959746703,-2.62875210457178,0.625295503869664
"Q10_norm",0.554470288848121,-0.860060957112131,0.88147683101214
"Q11_norm",-0.730677946632274,-1.06368126204974,0.148699450900767
"Q12_norm",0.855361246948984,-0.686293496002852,-2.42835605644117
"Q13_norm",-0.421462149992268,0.0445855975017993,0.39186612906509
"Q14_norm",-0.956555513303637,1.20047778253815,4.33305681684425
"Q15_norm",0.126267260221196,0.22087501965913,-1.36944149821914
"Q16_norm",1.94449974179976,-2.94997663085639,-2.16342456596843
"Q17_norm",-1.85939015452754,2.30394017774599,-3.41876173160513
"Q18_norm",0.12408513404929,-1.74716496429851,0.732329267013232
"Q19_norm",-0.216376965188283,-0.462063306156662,1.72921705555937
"Q20_norm",0.504572926810132,0.523039892255836,-1.24031746682718
"Q21_norm",-0.652373057363955,0.314499151122506,0.611024167437381
"Q22_norm",-0.146927921829765,0.912812096105944,-2.72999351845926
"Q23_norm",-0.804347869614062,-0.158068766214868,1.17504056569254
"Q24_norm",0.15361742597199,1.37556328937336,-1.21150688787946
"Q25_norm",-0.555273437094083,1.29003257733282,1.9042618048376
"Q26_norm",0.355871581946835,-2.40613133711582,0.0679143298465339
"Q27_norm",1.12034765236697,1.06924168851069,0.548974762575155
"Q28_norm",-0.765456379325138,-0.781279384636729,0.0966538179466778
